	0
230	2269.6
231	4624.833333333333
232	1660.9599999999998
233	1769.8707142857143
234	1138.6666666666665
235	6576.969999999999
236	9518.8
237	18555.7
238	1781.0666666666664
239	6717.475482156733
240	20452.57023809524
241	5436.359761904761
242	605.0
243	6264.666666666666
244	394.16666666666663
245	4357.85
246	521.8055555555555
247	13010.0
248	727.504515455305
249	1210.0349999999999
250	1284.82
251	32892.8
252	28620.0
253	13648.5
254	2593.3333333333335
255	6651.19
256	4935.0
257	606.4631214951615
258	3385.6690476190474
259	7962.3
260	14950.295952380951
261	636.25
262	16506.571428571428
263	4051.6
264	13537.9
265	1134.9
266	11000.0
267	992.7294034022004
268	488.75
269	4490.5
270	1828.665684888211
271	5318.802315184816
272	200.26666666666668
273	8600.0
274	1781.4583333333335
275	1027.7084984400253
276	851.8802380952382
277	1693.2916269841269
278	618.775
279	2695.0
280	1979.7586247086244
281	747.75
282	17598.390476190478
283	26179.9746031746
284	6630.566223604827
285	1709.564504939505
286	1681.6666666666665
287	2282.166666666667
288	10380.0
289	2895.45
290	925.6
291	1283.0
292	3399.0
293	2669.0
294	1944.9
295	24443.0
296	5036.8
297	1771.7095238095237
298	1755.776666666667
299	7295.643810846016
300	2937.5
301	7020.9
302	8144.0
303	911.3309035409036
304	1377.28833000333
305	2829.888061499904
306	4210.0
307	481.9999999999999
308	4244.333333333334
309	18570.0
310	1145.3722222222223
311	5901.446666666668
312	6310.0
313	27789.966666666664
314	10000.0
315	973.3333333333333
316	2879.0428571428574
317	3552.4583333333335
318	10449.8
319	1584.9
320	1445.0402928959368
321	1695.0
322	299.71031746031747
323	574.5
324	1124.6933333333334
325	1397.25
326	1288.3958333333335
327	521.3333333333334
328	4075.0793650793653
329	865.8333333333333
330	6672.933333333334
331	10075.0
332	6164.3
333	7999.9
334	866.0
335	235.0
336	733.8333333333333
337	1238.5416666666665
338	21983.899999999998
339	17803.75
340	1413.9
341	5289.9
342	4429.8
343	854.1
344	979.7
345	506.87821428571425
346	14500.0
347	3246.5714285714284
348	3806.1016666666665
349	416.09725020350015
350	4419.5
351	1211.753846153846
352	512.8888888888889
353	636.5109381115633
354	931.5
355	659.9999999999999
356	913.1333333333334
357	3520.125
358	1179.3823000649538
359	4374.8
360	6695.168795822678
361	1889.5333333333333
362	401.6558694083695
363	9925.333333333334
364	2383.9466666666667
365	7644.5
366	13469.9
367	6281.366666666667
368	7885.0
369	883.4833333333333
370	1234.047619047619
371	2546.4
372	994.7
373	975.6817570587307
374	524.9179292929293
375	437.91666666666663
376	1019.2380952380952
377	1400.0321825396827
378	13503.333333333334
379	758.2333333333333
380	8933.85
381	17065.0
382	891.1833333333332
383	3429.0
384	922.3333333333334
385	636.5109381115633
386	1562.7097619047622
387	2695.0
388	4737.5
389	6140.4
390	786.0436507936508
391	517.8333333333333
392	1194.5230964052287
393	6414.0
394	3711.692748917749
395	1533.6356486376012
396	7739.5
397	4119.0
398	3209.2
399	17132.5
400	374.76666666666665
401	7332.8741666666665
402	7582.4
403	1276.0833333333335
404	33787.9
405	21739.0
406	9771.375
407	4212.903932178932
408	526.4285714285713
409	44930.0
410	879.8
411	5023.925
412	12308.9
413	4704.95
414	19623.0
415	5432.8
416	1220.0
417	2048.5
418	925.0
419	11831.4998015873
420	6143.0
421	11806.704545454546
422	415.0
423	812.1
424	749.0421211997937
425	992.9900883442622
426	7199.6
427	14299.2
428	18649.0
429	1340.7566666666667
430	9596.350000000002
431	15480.0
432	1121.25
433	12093.0
434	796.6666666666667
435	8249.1
436	18549.294444444444
437	4454.0
438	5500.375602167441
439	21983.899999999998
440	2315.8666666666663
441	4961.9
442	3152.9
443	3753.791428571428
444	13577.4
445	4385.0
446	8193.333333333334
447	5513.2
448	4277.9
449	30086.0
450	1374.9
451	6577.051428571428
452	477.9824603174604
453	4063.6355324207952
454	5061.98431372549
455	2214.6
456	5648.056666666666
457	26858.0
458	815.0
459	1926.8
460	9810.0
461	6019.4
462	1142.8791585299737
463	6141.631789635905
464	5666.184363283775
465	79.225
466	10722.2
467	4739.9
468	1613.3
469	8200.0
470	5615.0
